BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,_id
BRONX,Unspecified,,3/24/2022,23:00,1,0,Sedan,,65226c0c27407f3e1fedf91b
BROOKLYN,Brakes Defective,Unspecified,3/26/2022,7:36,0,0,Station Wagon/Sport Utility Vehicle,Taxi,65226c0c27407f3e1fedf91c
BROOKLYN,Failure to Yield Right-of-Way,,3/26/2022,11:50,2,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf91d
QUEENS,Passing Too Closely,Unspecified,3/26/2022,17:42,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf91e
MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,3/26/2022,1:45,0,0,Sedan,Sedan,65226c0c27407f3e1fedf91f
BROOKLYN,Passing or Lane Usage Improper,Unspecified,3/26/2022,17:00,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf920
QUEENS,Following Too Closely,Following Too Closely,2/25/2022,11:48,0,0,E-Scooter,Sedan,65226c0c27407f3e1fedf921
,Failure to Yield Right-of-Way,,3/26/2022,22:51,1,0,Sedan,,65226c0c27407f3e1fedf922
MANHATTAN,Driver Inattention/Distraction,Unspecified,3/26/2022,8:21,0,0,Box Truck,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf923
,Traffic Control Disregarded,Unspecified,3/17/2022,8:00,1,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf924
BROOKLYN,Backing Unsafely,Unspecified,3/26/2022,10:30,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf925
,Unspecified,Unspecified,12/16/2021,9:23,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf926
MANHATTAN,,,3/26/2022,13:48,1,0,,,65226c0c27407f3e1fedf927
,Driver Inattention/Distraction,Unspecified,3/25/2022,9:56,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf928
QUEENS,Driver Inattention/Distraction,Unspecified,3/26/2022,23:45,1,0,Sedan,Sedan,65226c0c27407f3e1fedf929
,Unsafe Speed,Unspecified,3/26/2022,1:26,0,0,UTILITY,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf92a
BROOKLYN,Aggressive Driving/Road Rage,,3/22/2022,9:07,1,0,Sedan,,65226c0c27407f3e1fedf92b
BROOKLYN,Driver Inattention/Distraction,Unspecified,3/26/2022,16:00,1,0,Sedan,Sedan,65226c0c27407f3e1fedf92c
MANHATTAN,Following Too Closely,Unspecified,3/26/2022,23:17,1,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf92d
,Traffic Control Disregarded,Unspecified,3/23/2022,9:00,1,0,Sedan,Motorcycle,65226c0c27407f3e1fedf92e
